userid;gender;age;w1;w2;w3;w4;w5
122;1;44;obsolete;delight;sand;grotesque;fry
123;0;42;smile;thirsty;square;inquisitive;rainy
124;0;19;ruddy;waiting;dapper;trace;foregoing
125;1;46;form;whistle;whole;waiting;neat
126;1;22;graceful;sneeze;detail;delicate;toothpaste
127;2;41;sparkle;humorous;male;birds;tasteless
128;0;67;gun;trucks;nosy;decide;shelter
129;1;26;rail;baby;plastic;adventurous;sprout
130;0;21;rapid;wrist;many;zoom;aboard
131;2;43;same;furniture;mind;dusty;sneeze
132;0;47;mute;fruit;simplistic;gruesome;edge
133;1;60;level;knowledge;crowd;cracker;makeshift
134;0;30;quaint;useful;joyous;wing;overrated
135;0;69;heady;locket;tenuous;temper;narrow
136;1;63;move;tired;sand;half;zippy
137;0;67;tangy;sleepy;mailbox;bed;cruel
138;2;50;laborer;endurable;thrill;rich;unarmed
139;1;50;carriage;achiever;birds;behavior;word
140;1;50;machine;picayune;filthy;certain;hill
141;2;42;gusty;cycle;way;uncle;previous
142;0;48;believe;license;sand;drab;ray
143;2;40;fascinated;time;type;serious;flash
144;1;59;peep;honey;market;delay;breakable
145;2;15;deliver;frame;root;nonchalant;pin
146;1;54;needle;laughable;inform;lock;adamant
147;1;19;ball;picayune;longing;increase;unadvised
148;2;50;form;scene;alarm;terrific;straight
149;0;62;muscle;poised;produce;muscle;winter
150;1;35;bent;risk;quizzical;protect;addicted
151;1;49;protective;tug;four;vacuous;mature
152;0;31;fence;coil;amusing;notebook;trite
153;1;47;present;remind;graceful;bored;vivacious
154;1;68;tree;tick;match;interest;elbow
155;2;65;imported;applaud;bottle;insidious;crabby
156;2;40;print;activity;territory;shop;decide
157;1;42;story;launch;fretful;miniature;loutish
158;2;49;finger;steer;opposite;belligerent;snail
159;1;22;continue;pet;colour;welcome;request
160;1;48;truculent;roomy;longing;front;cute
161;1;37;gate;roll;stale;resonant;floor
162;0;18;ethereal;market;callous;fluffy;superficial
163;0;64;string;farm;bewildered;enter;command
164;1;17;flock;bury;plucky;bike;bizarre
165;1;33;uncle;transport;crabby;pies;spiritual
166;0;63;loaf;ladybug;shop;bulb;grab
167;0;22;calculating;worry;addition;overjoyed;slimy
168;2;66;painful;blushing;drain;temper;daughter
169;2;37;smoke;oranges;absent;lowly;womanly
170;2;36;telephone;acoustic;smile;bucket;hand
171;2;20;move;precious;accidental;warn;possessive
172;2;33;fire;quizzical;zany;jeans;kindly
173;2;30;scene;memorise;juice;vein;needy
174;0;34;elfin;monkey;hot;things;feigned
175;2;25;exotic;snow;passenger;fold;scare
176;1;51;train;overwrought;treat;correct;jumpy
177;2;25;skillful;diligent;yummy;wait;faint
178;0;41;walk;aboriginal;jail;cut;pet
179;0;22;condition;jump;type;cast;divergent
180;0;65;route;interest;wiggly;mean;foregoing
181;0;63;bag;bounce;crate;muddled;shrug
182;0;45;messy;tame;toad;prickly;plastic
183;2;30;play;ignorant;delicate;note;health
184;1;65;key;spiteful;stage;flower;cheer
185;1;64;resonant;snakes;excite;drawer;devilish
186;0;39;hushed;equal;dolls;women;allow
187;2;51;behave;fork;system;skirt;stupendous
188;0;41;harmonious;uttermost;wide;giraffe;whip
189;0;51;voiceless;warm;eyes;shrill;invent
190;1;66;clammy;fairies;fire;fair;fry
191;0;18;divergent;quixotic;morning;paste;bat
192;1;24;ambiguous;trade;hallowed;corn;cluttered
193;0;46;living;youthful;blue-eyed;division;mammoth
194;1;58;engine;gruesome;complain;purpose;temper
195;2;19;toe;ragged;used;celery;spoon
196;1;59;bite-sized;pickle;extra-large;large;fool
197;1;35;needless;righteous;harass;space;remarkable
198;2;33;share;compete;steep;frog;shallow
199;1;25;petite;well-to-do;milky;doubt;difficult
200;1;69;phone;chemical;interfere;pump;ill-informed
201;0;52;silver;snore;first;weigh;glossy
202;2;30;complain;nerve;trouble;oafish;itchy
203;0;45;excellent;soda;rinse;suck;story
204;0;19;lie;well-made;defective;tug;ring
205;1;68;spot;hat;old-fashioned;dramatic;disastrous
206;2;31;colossal;faint;order;wonder;grip
207;1;49;toys;preserve;quixotic;wire;cat
208;1;25;ship;righteous;boorish;normal;machine
209;2;68;bag;bite;unused;dinosaurs;trot
210;2;41;lie;standing;exist;sticky;FALSE
211;1;44;experience;flashy;tenuous;disapprove;place
212;0;15;grab;sore;magical;level;spiritual
213;2;60;abject;please;cute;support;aunt
214;1;33;rod;sky;icky;harmonious;middle
215;1;61;bone;slim;spot;suggest;remain
216;1;64;wash;faulty;substantial;quizzical;hat
217;0;64;earthy;smash;rabid;messy;pen
218;0;33;prepare;tree;attack;quick;purpose
219;2;47;wiry;fowl;reach;malicious;copper
220;2;38;plan;sharp;question;adjoining;parallel
221;1;26;expansion;car;sound;oatmeal;spooky
222;0;56;numberless;bee;unpack;surprise;popcorn
223;0;55;imaginary;pot;annoying;used;hideous
224;1;59;clumsy;shaggy;supply;agreement;coherent
225;0;35;snow;communicate;credit;aquatic;grip
226;0;54;spiritual;tow;card;cause;great
227;2;56;stew;rough;shake;credit;sign
228;1;15;bathe;practise;powder;clammy;train
229;1;62;growth;hellish;two;sip;lake
230;2;45;irritating;ratty;home;warn;shut
231;1;33;unusual;meek;homely;bell;confuse
232;2;34;furniture;simple;doubt;desert;holiday
233;2;38;faulty;rustic;bright;alleged;coil
234;0;19;gamy;love;useless;raise;frequent
235;1;41;chubby;guess;royal;rustic;cakes
236;2;16;snow;earthquake;ring;elegant;minor
237;1;21;humor;copper;trees;rifle;reproduce
238;0;68;friction;irritate;husky;cheat;prose
239;0;63;seat;flaky;scene;selfish;fretful
240;1;20;reflective;flight;save;reproduce;army
241;0;17;unpack;hulking;plant;common;dirty
242;0;31;show;knit;majestic;earth;smash
243;0;27;trite;kitty;uninterested;zinc;noiseless
244;1;39;cactus;different;rice;second-hand;vegetable
245;2;64;ragged;tasteful;peep;cracker;childlike
246;2;61;uppity;unequal;luxuriant;scale;harbor
247;0;22;signal;wobble;mint;legs;sun
248;1;15;conscious;gaudy;hate;stamp;hate
249;0;44;outgoing;rob;dress;plastic;steer
250;1;27;tomatoes;unusual;announce;tall;taste
251;1;29;glib;toe;ragged;numerous;digestion
252;1;37;bee;sticks;new;spare;hope
253;2;52;busy;reach;basket;claim;low
254;2;45;grease;testy;dizzy;idea;receptive
255;0;16;eminent;lunch;birth;range;giddy
256;0;38;cloistered;wipe;misty;internal;cruel
257;0;65;handsomely;gather;warm;repeat;jelly
258;0;67;shrill;jittery;mother;seed;minor
259;1;29;perpetual;womanly;cherry;accurate;unwieldy
260;0;28;unpack;domineering;thundering;physical;cuddly
261;1;27;determined;pot;loaf;first;guitar
262;1;59;letters;dolls;cherry;sweet;naughty
263;2;47;bit;check;stir;back;raise
264;0;32;existence;childlike;suffer;wander;crack
265;2;67;jumbled;puzzling;metal;disagree;cobweb
266;0;19;creature;door;cat;clever;scared
267;1;18;count;fireman;flag;premium;introduce
268;1;45;horn;unequaled;mountainous;well-made;skinny
269;0;59;minute;visitor;animated;friendly;hook
270;2;63;zonked;servant;bump;ducks;long
271;0;58;back;overjoyed;plantation;afraid;scratch
272;1;69;wacky;mess up;coil;scare;tidy
273;2;60;upset;wave;bridge;passenger;vanish
274;1;58;roof;various;acid;jog;alarm
275;0;62;placid;wakeful;odd;drop;mountain
276;2;60;lewd;magic;dazzling;obtainable;flimsy
277;0;47;meal;front;dysfunctional;violet;prose
278;1;58;unique;stroke;subsequent;sugar;longing
279;0;38;tenuous;scissors;glossy;memory;lamp
280;0;26;doll;metal;unwritten;gruesome;seemly
281;1;35;sable;grade;encouraging;hapless;argument
282;2;60;shaggy;plant;sidewalk;deceive;wrap
283;0;69;advice;opposite;complete;important;balance
284;1;16;recess;cheerful;basket;dare;icy
285;1;24;anger;tightfisted;humor;boiling;appreciate
286;0;42;phobic;caption;basketball;frantic;clean
287;0;32;phone;love;company;trace;wool
288;0;48;infamous;stop;bike;rake;nappy
289;1;59;FALSE;secret;abnormal;whimsical;slippery
290;1;65;excited;increase;night;trick;advice
291;1;50;punish;front;coach;last;agonizing
292;2;23;tasteless;sulky;vast;hushed;chin
293;0;26;important;magnificent;uptight;scarce;bolt
294;0;23;motion;night;quartz;reading;harm
295;0;49;screw;wing;queen;yell;consider
296;0;50;bubble;well-to-do;lying;book;marvelous
297;1;49;draconian;pump;sail;shock;accept
298;2;58;jail;laugh;tax;snake;freezing
299;2;19;sign;writer;jolly;trucks;shoe
300;2;55;needle;spoon;bell;normal;care
